"delegator_address","amount_uluna","amount_lunc"
"terra1juhmzqp6h586asse027kzsaxhq0kdd8wwp3rxa","100000000","100"
"terra18he8nvh79fk37qz0mnk4v04r89vsgsd5sd0vsz","100000000","100"
"terra166jymkhyuyld6l63clhwrp2fup80rq64mt60lv","90000000","90"
"terra16lkp5mwk22w7e8wdm3dt2llwetd5s2zjas6g0y","70000000","70"
"terra1tapqukwpgmaj0j4zyfznytg2s6nt0n9exayqys","53267147","53.267147"
"terra1drs4gul908c59638gu9s88mugdnujdprjhtu7n","999999","0.999999"
"terra1t5y3hp6remgy3wcj7wnyflfh9hwccv7pv4ck50","250000","0.25"
"terra12gna3vx8h27zzupuq64htjxzy7pw3v0fxpual2","1","1E-06"
"terra14u0zvedxhtddqwfw5aqgrg3s548cswegwrg7vp","1","1E-06"
"terra10x5vpvuqtdprvlmx4flqr86rpx68l8qh7vn7zw","1","1E-06"
"terra1fueke7lu3kcv9c0vkwwcg3g5v57s2vfdhjfqxu","1","1E-06"
"terra1d0qrd7q45a0nepez4nq0kq095lhnsawxkny526","1","1E-06"
"terra1lu56qztmezhj0twj48p8lxqmxqe0hm8hw0mr28","0","0"
"terra13ymg5xat0j0u8xgt3gckc765zxs2cnj4el6t9x","0","0"
"terra1gnrh9ugz0zzweclaph4p9t0lyj32udl8jx5xcc","0","0"
"terra142p8z3k7ukk0xfps392nn5e553w9nr84j8tt7x","0","0"
"terra1c4vq2aaqycurfg2xuvlcqr7eqnc323dmytf3df","0","0"
"terra1qcn3t4avsl8sma43sr7dhe5qaz6cn5ljf37aww","0","0"
"terra16nmy3mhevw4ru44gnkvgscs0ggqhsnzrm82vja","0","0"
"terra1xzvf5nyyz6zdvcmcxgrtu6lftms74h3qng5kns","0","0"
"terra108rutejnhrvujtxqqxg2uwvknnpcxxatwm46vp","0","0"
"terra16huyp4qh08mjzja059vxspryu4s6rglxtc7hdk","0","0"
"terra1cvzuyq53scv6hdvel82u4rdfnpr44vplzw0trs","0","0"
"terra1080rvfyxq7gvd045g8qj4k8tj7txgpxcawc6gj","0","0"
"terra19jcsvjdwx2rptz8yd75h3uu9lpjprjjly5xqne","0","0"
"terra1382dv6nzda5nvy9za8mq78gnguul2teen35z89","0","0"
"terra1fyfa6yc7mq0adkha6eay6kwe6anrfc97zu6aah","0","0"
"terra1fh8juynffx94mjqh3sntyfqpjplyxwlr46pwek","0","0"
"terra1suthl75def2gey4uw50808vpn4vagv7z9akkut","0","0"
"terra1tce6w53mwwfhwpyxkvd2kel7vds30pcrdc066s","0","0"
"terra1w7teuut9uyv7fyg0mxmkfn7qvxnq6e20mzphxw","0","0"
"terra1ay4e5sm82rqa6wc3m9a82gl4j82ca4s6xsrmeh","0","0"
"terra1h63nun6d282d0yv7ytz33pdujp9nyaza3h6xt6","0","0"
"terra1fk00p8zzs249nqcyykhnztd6k3rlvv2fdlayu2","0","0"
"terra1ltqdsdcjekyg4cxzvfcze09q766k6upp6h42wt","0","0"
